Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
2006,875,0,90,4190,785,540,53,2365,129,34,8294,0
2007,531,202,0,2686,1626,1127,184,550,677,29,285,97
2008,7,128,1284,821,499,326,3552,1246,0,728,265,64
2009,1552,153,51,438,2832,337,26,1472,103,86,5620,6
2010,192,27,0,1114,1857,399,0,2054,0,26,215,27
2011,1067,32,0,252,1345,179,1266,454,94,480,0,0
2012,307,22,2,829,621,9,0,1601,0,989,106,0
2013,673,92,0,408,1003,75,0,572,0,523,163,111
2014,238,0,1242,58,473,119,709,1921,0,42,86,0
2015,422,0,0,350,410,66,0,583,443,305,44,21
2016,343,0,0,3,0,0,0,756,36,3,0,6
