Year,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
2006,24,125,245,378,246,28,280,88,22,28,32,9
2007,143,4,157,25,429,11,329,63,77,6,969,38
2008,747,64,6,107,499,0,117,405,200,117,1259,45
2009,469,16,0,397,109,11,0,103,142,10,986,148
2010,208,31,9,66,480,0,528,246,339,0,237,66
2011,212,0,0,57,431,27,0,39,55,0,684,6
2012,154,0,0,68,12,0,225,2,0,0,358,2
2013,22,0,0,28,88,0,1,40,101,0,89,72
2014,101,0,29,59,0,22,0,45,239,46,0,0
2015,45,0,4,38,0,0,0,17,0,35,0,24
2016,0,28,0,20,9,0,0,2,0,9,0,13
