Platform,Action,Adventure,Fighting,Misc,Platform,Puzzle,Racing,Role-Playing,Shooter,Simulation,Sports,Strategy
1990,,,,,2061,600,626,,,114,148,
1991,461,176,,,56,248,114,,188,198,39,18
1992,383,1118,,494,513,427,876,,,,,
1993,,,2,,1230,147,35,13,299,,8,
1994,142,,,,1310,,,88,,,59,
1995,,,32,3,1163,150,,9,,,,
1996,265,,99,,1919,58,1455,3351,,112,53,58
1997,71,,,123,512,58,488,,1212,,17,
1998,76,222,,27,450,193,75,1464,,400,401,174
1999,178,,555,678,1034,29,316,272,116,363,54,598
2000,588,,39,191,595,168,8,777,13,,357,291
