Name;Platform;Global_Sales
Wii Sports;Wii;8253
Super Mario Bros.;NES;4024
Mario Kart Wii;Wii;3552
Wii Sports Resort;Wii;3277
Pokemon Red/Pokemon Blue;GB;3137
Tetris;GB;3026
New Super Mario Bros.;DS;298
Wii Play;Wii;2892
New Super Mario Bros. Wii;Wii;2832
Duck Hunt;NES;2831
Nintendogs;DS;2467
Mario Kart DS;DS;2321
Pokemon Gold/Pokemon Silver;GB;231
Wii Fit;Wii;227
Kinect Adventures!;X360;2181
Wii Fit Plus;Wii;2179
Grand Theft Auto V;PS3;2104
Grand Theft Auto: San Andreas;PS2;2081
Super Mario World;SNES;2061
Brain Age: Train Your Brain in Minutes a Day;DS;2015
Pokemon Diamond/Pokemon Pearl;DS;1825
Super Mario Land;GB;1814
Super Mario Bros. 3;NES;1728
Grand Theft Auto V;X360;1627
Grand Theft Auto: Vice City;PS2;1615
Pokemon Ruby/Pokemon Sapphire;GBA;1585
Brain Age 2: More Training in Minutes a Day;DS;1529
Pokemon Black/Pokemon White;DS;1514
Gran Turismo 3: A-Spec;PS2;1498
Call of Duty: Modern Warfare 3;X360;1473
Pokémon Yellow: Special Pikachu Edition;GB;1464
Call of Duty: Black Ops 3;PS4;1463
Call of Duty: Black Ops;X360;1461
Pokemon X/Pokemon Y;3DS;146
Call of Duty: Black Ops II;PS3;1379
Call of Duty: Black Ops II;X360;1367
Call of Duty: Modern Warfare 2;X360;1347
Call of Duty: Modern Warfare 3;PS3;1332
Grand Theft Auto III;PS2;131
Super Smash Bros. Brawl;Wii;1284
Mario Kart 7;3DS;1266
Call of Duty: Black Ops;PS3;1263
Grand Theft Auto V;PS4;1261
Animal Crossing: Wild World;DS;1213
Halo 3;X360;1212
Super Mario 64;N64;1189
Pokemon HeartGold/Pokemon SoulSilver;DS;1177
Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;1168
Gran Turismo 4;PS2;1166
Super Mario Galaxy;Wii;1135
Super Mario Land 2: 6 Golden Coins;GB;1118
Grand Theft Auto IV;X360;1101
Gran Turismo;PS;1095
Super Mario 3D Land;3DS;1081
Gran Turismo 5;PS3;107
Call of Duty: Modern Warfare 2;PS3;106
Super Mario All-Stars;SNES;1055
Grand Theft Auto IV;PS3;105
Pokemon FireRed/Pokemon LeafGreen;GBA;1049
Super Mario 64;DS;103
Call of Duty: Ghosts;X360;1025
Just Dance 3;Wii;1012
New Super Mario Bros. 2;3DS;99
Mario Kart 64;N64;987
Halo: Reach;X360;986
Final Fantasy VII;PS;972
Halo 4;X360;971
Gran Turismo 2;PS;949
Just Dance 2;Wii;944
Call of Duty: Ghosts;PS3;936
Call of Duty 4: Modern Warfare;X360;931
Donkey Kong Country;SNES;93
Minecraft;X360;918
Animal Crossing: New Leaf;3DS;916
Mario Party DS;DS;891
The Elder Scrolls V: Skyrim;X360;879
Super Mario Kart;SNES;876
FIFA 16;PS4;857
Halo 2;XB;849
Wii Party;Wii;838
Mario Party 8;Wii;827
FIFA Soccer 13;PS3;816
GoldenEye 007;N64;809
Pokemon Black 2/Pokemon White 2;DS;807
Final Fantasy X;PS2;805
The Sims 3;PC;801
Mario & Sonic at the Olympic Games;Wii;799
Star Wars Battlefront (2015);PS4;798
Final Fantasy VIII;PS;786
Pac-Man;2600;781
Pokémon Platinum Version;DS;772
Grand Theft Auto: Liberty City Stories;PSP;769
Call of Duty: Advanced Warfare;PS4;766
The Legend of Zelda: Ocarina of Time;N64;76
FIFA 17;PS4;759
Crash Bandicoot 2: Cortex Strikes Back;PS;758
Super Smash Bros. for Wii U and 3DS;3DS;755
Super Mario Galaxy 2;Wii;751
Super Mario Bros. 2;NES;746
Call of Duty: Black Ops 3;XOne;739
Call of Duty: World at War;X360;738
Battlefield 3;X360;732
Need for Speed Underground;PS2;72
Just Dance;Wii;72
Battlefield 3;PS3;717
Fallout 4;PS4;716
Tekken 3;PS;716
The Legend of Zelda: Twilight Princess;Wii;715
Pokemon Sun/Moon;3DS;714
Crash Bandicoot 3: Warped;PS;713
Mario Kart 8;WiiU;709
Super Smash Bros. Melee;GC;707
Mario Kart: Double Dash!!;GC;695
Need for Speed Underground 2;PS2;69
Medal of Honor: Frontline;PS2;683
Crash Bandicoot;PS;682
Just Dance 4;Wii;676
Gears of War 2;X360;675
Uncharted 3: Drake's Deception;PS3;674
Zumba Fitness;Wii;671
Call of Duty 4: Modern Warfare;PS3;668
Uncharted 2: Among Thieves;PS3;666
FIFA 12;PS3;665
Big Brain Academy;DS;662
The Legend of Zelda;NES;651
Red Dead Redemption;PS3;649
FIFA 14;PS3;647
Assassin's Creed III;PS3;645
Donkey Kong Country Returns;Wii;644
Halo: Combat Evolved;XB;643
The Elder Scrolls V: Skyrim;PS3;641
Pokémon Emerald Version;GBA;641
Kingdom Hearts;PS2;64
Pokémon Crystal Version;GB;639
Halo 3: ODST;X360;634
Red Dead Redemption;X360;632
Super Mario Sunshine;GC;631
Street Fighter II: The World Warrior;SNES;63
World of Warcraft;PC;629
Driver;PS;627
Gears of War 3;X360;621
Kinect Sports;X360;619
Gears of War;X360;609
FIFA 15;PS4;608
Metal Gear Solid 2: Sons of Liberty;PS2;605
Sonic the Hedgehog 2;GEN;603
Metal Gear Solid;PS;603
Metal Gear Solid 4: Guns of the Patriots;PS3;599
Final Fantasy XII;PS2;595
The Last of Us;PS3;587
LittleBigPlanet;PS3;582
Resident Evil 2;PS;582
Dragon Quest IX: Sentinels of the Starry Skies;DS;578
Tekken 2;PS;574
Destiny;PS4;564
LEGO Star Wars: The Complete Saga;Wii;564
Cooking Mama;DS;563
Tetris;NES;558
Super Smash Bros.;N64;555
Assassin's Creed II;PS3;555
Assassin's Creed;X360;554
Forza Motorsport 3;X360;549
Super Mario Advance;GBA;549
Monster Hunter Freedom Unite;PSP;548
Batman: Arkham City;PS3;548
Grand Theft Auto V;XOne;548
Mario Kart: Super Circuit;GBA;547
Super Mario World;GBA;546
Pokemon Stadium;N64;545
Crash Bandicoot: The Wrath of Cortex;PS2;542
Call of Duty: World at War;PS3;539
Uncharted 4: A Thief's End;PS4;538
Dr. Mario;GB;534
Final Fantasy XIII;PS3;533
Pokemon Pinball;GB;531
Final Fantasy IX;PS;53
Assassin's Creed III;X360;529
Final Fantasy X-2;PS2;529
Donkey Kong 64;N64;527
Call of Duty: Advanced Warfare;XOne;527
Minecraft;PS3;526
Assassin's Creed II;X360;526
Tomb Raider II;PS;524
Madden NFL 2004;PS2;523
Tomodachi Life;3DS;523
New Super Mario Bros. U;WiiU;522
Dragon Quest VIII: Journey of the Cursed King;PS2;521
Super Mario Bros. 3;GBA;52
Professor Layton and the Curious Village;DS;519
Super Mario Land 3: Wario Land;GB;519
FIFA Soccer 13;X360;516
Donkey Kong Country 2: Diddy's Kong Quest;SNES;515
